epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1572.26,0.64853,3.0073,0.86452,0.66635,0.80141,0.77256,0.71023,0.42456,0.89295,0.78756,0.00333152,0.00333152,0.00333152
2,3146.45,0.55888,1.39725,0.84868,0.7732,0.89743,0.86301,0.76245,0.52319,0.65915,0.80243,0.00644491,0.00644491,0.00644491
3,4723.6,0.57044,0.97125,0.85404,0.83275,0.94956,0.89023,0.81388,0.42303,0.52425,0.78617,0.00933831,0.00933831,0.00933831
4,6293.07,0.53262,0.79042,0.8481,0.86066,0.97608,0.90306,0.84542,0.36804,0.41057,0.77823,0.00901,0.00901,0.00901
5,7868.21,0.48189,0.69041,0.83696,0.87837,0.98761,0.90661,0.86374,0.31831,0.3588,0.77186,0.00868,0.00868,0.00868
6,9440.9,0.4553,0.64748,0.83207,0.88595,0.99068,0.90783,0.86728,0.30738,0.33856,0.7705,0.00835,0.00835,0.00835
7,11012.6,0.43828,0.61825,0.82805,0.88988,0.99334,0.90717,0.87404,0.2855,0.32056,0.7686,0.00802,0.00802,0.00802
8,12586,0.42673,0.6014,0.8249,0.8924,0.9944,0.90702,0.87726,0.27443,0.31129,0.76743,0.00769,0.00769,0.00769
9,14156.2,0.41662,0.58489,0.82278,0.89398,0.99496,0.90699,0.87913,0.26811,0.30625,0.76678,0.00736,0.00736,0.00736
10,15726.3,0.40923,0.57208,0.82077,0.8946,0.99542,0.90666,0.88016,0.2642,0.30314,0.76655,0.00703,0.00703,0.00703
11,17298,0.40127,0.56223,0.81963,0.89513,0.99554,0.90719,0.88167,0.26093,0.30082,0.76623,0.0067,0.0067,0.0067
12,18866.3,0.39539,0.55234,0.81759,0.89584,0.99589,0.90735,0.88282,0.25774,0.29933,0.76593,0.00637,0.00637,0.00637
13,20435.9,0.38923,0.5412,0.81626,0.89648,0.99597,0.90732,0.88359,0.25499,0.29864,0.76567,0.00604,0.00604,0.00604
14,22005.8,0.37886,0.5331,0.81356,0.89717,0.99608,0.9077,0.88479,0.25192,0.29897,0.76542,0.00571,0.00571,0.00571
15,23576.2,0.36663,0.52602,0.81144,0.89765,0.99625,0.90853,0.88647,0.2487,0.2997,0.76515,0.00538,0.00538,0.00538
16,25151.6,0.35899,0.5144,0.80986,0.89789,0.99638,0.90887,0.88754,0.246,0.30127,0.76493,0.00505,0.00505,0.00505
17,26723.9,0.35189,0.50718,0.80879,0.89825,0.99652,0.90916,0.88845,0.24364,0.30307,0.76484,0.00472,0.00472,0.00472
18,28295.4,0.3476,0.4818,0.80749,0.89836,0.99663,0.90961,0.88922,0.24187,0.30466,0.76468,0.00439,0.00439,0.00439
19,29865.3,0.34237,0.45451,0.80725,0.89786,0.99675,0.91073,0.89045,0.24109,0.30714,0.76465,0.00406,0.00406,0.00406
20,31436.2,0.33605,0.44243,0.80637,0.89794,0.99579,0.91165,0.89168,0.23932,0.30916,0.76459,0.00373,0.00373,0.00373
21,33012.3,0.31645,0.33633,0.78044,0.89881,0.99413,0.91609,0.89673,0.23609,0.31003,0.76443,0.0034,0.0034,0.0034
22,34581,0.30586,0.32357,0.77841,0.90307,0.98839,0.92769,0.90876,0.23221,0.30668,0.76408,0.00307,0.00307,0.00307
23,36145.5,0.29726,0.31419,0.77724,0.91613,0.98187,0.94513,0.9266,0.22841,0.29932,0.7637,0.00274,0.00274,0.00274
24,37712.9,0.28916,0.30217,0.77612,0.92908,0.98635,0.96017,0.94185,0.22477,0.28813,0.76327,0.00241,0.00241,0.00241
25,39288.9,0.27965,0.29149,0.77544,0.93936,0.99159,0.96888,0.95056,0.22147,0.27657,0.76287,0.00208,0.00208,0.00208
26,40864.5,0.27119,0.28034,0.77395,0.9455,0.99515,0.97268,0.95453,0.21843,0.26572,0.76253,0.00175,0.00175,0.00175
27,42437.9,0.26219,0.27113,0.7727,0.94887,0.9967,0.97396,0.95606,0.21529,0.25747,0.76215,0.00142,0.00142,0.00142
28,44016.1,0.25292,0.25863,0.77164,0.95036,0.99697,0.97428,0.95693,0.2125,0.2515,0.76181,0.00109,0.00109,0.00109
29,45602.8,0.24261,0.24718,0.77084,0.95118,0.99729,0.97435,0.95776,0.20983,0.24638,0.76148,0.00076,0.00076,0.00076
30,47192.8,0.23241,0.23535,0.76978,0.95151,0.99754,0.97446,0.95874,0.20713,0.24077,0.76112,0.00043,0.00043,0.00043
